BioSample,BioProject,Run Accession,Study
SAMN16495327,PRJNA670413,SRR12858109,timmermans2021
SAMN16495328,PRJNA670413,SRR12858108,timmermans2021
SAMN16495329,PRJNA670413,SRR12858107,timmermans2021
SAMN16495332,PRJNA670413,SRR12858104,timmermans2021
SAMN16495333,PRJNA670413,SRR12858103,timmermans2021
SAMN16495334,PRJNA670413,SRR12858102,timmermans2021
SAMN16495335,PRJNA670413,SRR12858101,timmermans2021
SAMN16495336,PRJNA670413,SRR12858100,timmermans2021
SAMN16495339,PRJNA670413,SRR12858096,timmermans2021
SAMN16495342,PRJNA670413,SRR12858093,timmermans2021
SAMN16495343,PRJNA670413,SRR12858092,timmermans2021
SAMN16495345,PRJNA670413,SRR12858090,timmermans2021
SAMN16495347,PRJNA670413,SRR12858087,timmermans2021
SAMN16495351,PRJNA670413,SRR12858083,timmermans2021
SAMN16495352,PRJNA670413,SRR12858082,timmermans2021
SAMN16826733,PRJNA670413,SRR13080473,timmermans2021
SAMN16826734,PRJNA670413,SRR13080472,timmermans2021
SAMN15957569,PRJNA630475,SRR12606439,aun2021
SAMN15957570,PRJNA630475,SRR12606438,aun2021
SAMN15957571,PRJNA630475,SRR12606437,aun2021
SAMN15957572,PRJNA630475,SRR12606436,aun2021
SAMN15957573,PRJNA630475,SRR12606434,aun2021
SAMN15957574,PRJNA630475,SRR12606433,aun2021
SAMN15957575,PRJNA630475,SRR12606432,aun2021
SAMN15957576,PRJNA630475,SRR12606431,aun2021
SAMN15957577,PRJNA630475,SRR12606430,aun2021
SAMN15957578,PRJNA630475,SRR12606429,aun2021
SAMN15957579,PRJNA630475,SRR12606428,aun2021
SAMN15957580,PRJNA630475,SRR12606427,aun2021
SAMN15957581,PRJNA630475,SRR12606426,aun2021
SAMN15957582,PRJNA630475,SRR12606425,aun2021
SAMN15957583,PRJNA630475,SRR12606423,aun2021
SAMN15957584,PRJNA630475,SRR12606422,aun2021
SAMN15957585,PRJNA630475,SRR12606421,aun2021
SAMN15957586,PRJNA630475,SRR12606420,aun2021
SAMN15957587,PRJNA630475,SRR12606419,aun2021
SAMN15957588,PRJNA630475,SRR12606418,aun2021
SAMN15957589,PRJNA630475,SRR12606417,aun2021
SAMN15957590,PRJNA630475,SRR12606416,aun2021
SAMN15957591,PRJNA630475,SRR12606415,aun2021
SAMN15957592,PRJNA630475,SRR12606414,aun2021
SAMN15957593,PRJNA630475,SRR12606412,aun2021
SAMN15957594,PRJNA630475,SRR12606411,aun2021
SAMN15957595,PRJNA630475,SRR12606410,aun2021
SAMN15957596,PRJNA630475,SRR12606409,aun2021
SAMN15957597,PRJNA630475,SRR12606408,aun2021
SAMN15957598,PRJNA630475,SRR12606407,aun2021
SAMN15957599,PRJNA630475,SRR12606406,aun2021
SAMN15957600,PRJNA630475,SRR12606405,aun2021
SAMN15957601,PRJNA630475,SRR12606404,aun2021
SAMN15957602,PRJNA630475,SRR12606403,aun2021
SAMN15957603,PRJNA630475,SRR12606401,aun2021
SAMN15957604,PRJNA630475,SRR12606400,aun2021
SAMN15957605,PRJNA630475,SRR12606399,aun2021
SAMN15957606,PRJNA630475,SRR12606398,aun2021
SAMN15957607,PRJNA630475,SRR12606397,aun2021
SAMN15957608,PRJNA630475,SRR12606396,aun2021
SAMN15957609,PRJNA630475,SRR12606395,aun2021
SAMN15957610,PRJNA630475,SRR12606394,aun2021
SAMN15957611,PRJNA630475,SRR12606393,aun2021
SAMN15957612,PRJNA630475,SRR12606392,aun2021
SAMN15957613,PRJNA630475,SRR12606390,aun2021
SAMN15957614,PRJNA630475,SRR12606389,aun2021
SAMN15957615,PRJNA630475,SRR12606388,aun2021
SAMN15957616,PRJNA630475,SRR12606387,aun2021
SAMN15957617,PRJNA630475,SRR12606386,aun2021
SAMN12082501,PRJNA541552,SRR9321149,holman2021
SAMN12082502,PRJNA541552,SRR9321148,holman2021
SAMN12082505,PRJNA541552,SRR9321122,holman2021
SAMN12082506,PRJNA541552,SRR9321123,holman2021
SAMN12082507,PRJNA541552,SRR9321121,holman2021
SAMEA6595198,PRJEB36950,ERR3959022;ERR3959028,mchugh2022
SAMEA6595198,PRJEB36950,ERR3959022;ERR3959028,mchugh2022
SAMEA6595198,PRJEB36950,ERR3959022;ERR3959028,mchugh2022
SAMEA6595198,PRJEB36950,ERR3959022;ERR3959028,mchugh2022
SAMEA6595199,PRJEB36950,ERR3959023;ERR3959029,mchugh2022
SAMEA6595199,PRJEB36950,ERR3959023;ERR3959029,mchugh2022
SAMEA6595199,PRJEB36950,ERR3959023;ERR3959029,mchugh2022
SAMEA6595199,PRJEB36950,ERR3959023;ERR3959029,mchugh2022
SAMEA6595197,PRJEB36950,ERR3959024;ERR3959030,mchugh2022
SAMEA6595197,PRJEB36950,ERR3959024;ERR3959030,mchugh2022
SAMEA6595197,PRJEB36950,ERR3959024;ERR3959030,mchugh2022
SAMEA6595197,PRJEB36950,ERR3959024;ERR3959030,mchugh2022
SAMN19195851,PRJNA729754,,westbrook2024
SAMN19195852,PRJNA729754,,westbrook2024
SAMN19195853,PRJNA729754,,westbrook2024
SAMN32165535,PRJNA729754,,westbrook2024
SAMN32165536,PRJNA729754,,westbrook2024
SAMN32165537,PRJNA729754,,westbrook2024
SAMN32165538,PRJNA729754,,westbrook2024
SAMN32165539,PRJNA729754,,westbrook2024
SAMN32165540,PRJNA729754,,westbrook2024
SAMN32165541,PRJNA729754,,westbrook2024
SAMN32165542,PRJNA729754,,westbrook2024
SAMN32165543,PRJNA729754,,westbrook2024
SAMN32165544,PRJNA729754,,westbrook2024
SAMN32165545,PRJNA729754,,westbrook2024
SAMN32165546,PRJNA729754,,westbrook2024
SAMN32165547,PRJNA729754,,westbrook2024
SAMN32165548,PRJNA729754,,westbrook2024
SAMN32165549,PRJNA729754,,westbrook2024
SAMN32165550,PRJNA729754,,westbrook2024
SAMN32165551,PRJNA729754,,westbrook2024
SAMN32165552,PRJNA729754,,westbrook2024
SAMN32165553,PRJNA729754,,westbrook2024
SAMN32165554,PRJNA729754,,westbrook2024
SAMN32165555,PRJNA729754,,westbrook2024
SAMN32165556,PRJNA729754,,westbrook2024
SAMN32165557,PRJNA729754,,westbrook2024
SAMN32165558,PRJNA729754,,westbrook2024
SAMN32165559,PRJNA729754,,westbrook2024
SAMN32165560,PRJNA729754,,westbrook2024
SAMN32165561,PRJNA729754,,westbrook2024
SAMN19195820,PRJNA729754,,westbrook2024
SAMN19195821,PRJNA729754,,westbrook2024
SAMN19195822,PRJNA729754,,westbrook2024
SAMN19195823,PRJNA729754,,westbrook2024
SAMN19195824,PRJNA729754,,westbrook2024
SAMN19195825,PRJNA729754,,westbrook2024
SAMN19195826,PRJNA729754,,westbrook2024
SAMN19195827,PRJNA729754,,westbrook2024
SAMN19195828,PRJNA729754,,westbrook2024
SAMN19195829,PRJNA729754,,westbrook2024
SAMN19195830,PRJNA729754,,westbrook2024
SAMN19195831,PRJNA729754,,westbrook2024
SAMN19195832,PRJNA729754,,westbrook2024
SAMN19195833,PRJNA729754,,westbrook2024
SAMN19195834,PRJNA729754,,westbrook2024
SAMN19195835,PRJNA729754,,westbrook2024
SAMN19195836,PRJNA729754,,westbrook2024
SAMN19195837,PRJNA729754,,westbrook2024
SAMN19195838,PRJNA729754,,westbrook2024
SAMN19195839,PRJNA729754,,westbrook2024
SAMN19195840,PRJNA729754,,westbrook2024
SAMN19195841,PRJNA729754,,westbrook2024
SAMN19195842,PRJNA729754,,westbrook2024
SAMN19195843,PRJNA729754,,westbrook2024
SAMN19195844,PRJNA729754,,westbrook2024
SAMN19195845,PRJNA729754,,westbrook2024
SAMN19195846,PRJNA729754,,westbrook2024
SAMN19195847,PRJNA729754,,westbrook2024
SAMN19195848,PRJNA729754,,westbrook2024
SAMN19195850,PRJNA729754,,westbrook2024
SAMN13999644,PRJNA604849,,zaheer2020
SAMN13999928,PRJNA604849,,zaheer2020
SAMN13999928,PRJNA604849,,zaheer2020
SAMN13999928,PRJNA604849,,zaheer2020
SAMN13999928,PRJNA604849,,zaheer2020
SAMN14000017,PRJNA604849,,zaheer2020
SAMN14000017,PRJNA604849,,zaheer2020
SAMN13999929,PRJNA604849,,zaheer2020
SAMN13999929,PRJNA604849,,zaheer2020
SAMN13999930,PRJNA604849,,zaheer2020
SAMN13999930,PRJNA604849,,zaheer2020
SAMN13999931,PRJNA604849,,zaheer2020
SAMN13999931,PRJNA604849,,zaheer2020
